Emp_ID,Emp_Name,Order_ID,Attendance_Percentage,Picking_Time_Minutes,Income_Earned
PK087,Priya Sharma,ORD001834,86.19,8,92.96
PK184,Arun Kumar,ORD001835,98.28,19,19.04
PK178,Swetha R,ORD001836,89.51,6,32.9
PK214,Harish M,ORD001837,99.05,13,17.57
PK055,Swetha R,ORD001838,91.23,20,98.96
PK226,Karthik Raj,ORD001839,82.06,15,46.66
PK118,Naveen Kumar,ORD001840,90.18,19,60.56
PK077,Swetha R,ORD001841,84.32,12,98.14
PK074,Meena Devi,ORD001842,92.09,18,64.12
PK175,Naveen Kumar,ORD001843,95.27,14,81.97
PK185,Rahul Singh,ORD001844,94.3,9,105.02
PK135,Naveen Kumar,ORD001845,97.19,20,58.35
PK160,Priya Sharma,ORD001846,98.52,8,41.36
PK149,Swetha R,ORD001847,82.64,20,85.44
PK220,Priya Sharma,ORD001848,84.22,8,16.48
PK028,Naveen Kumar,ORD001849,89.84,13,91.03
PK091,Naveen Kumar,ORD001850,95.98,11,55.62
PK071,Vignesh R,ORD001851,83.42,8,29.42
PK120,Vignesh R,ORD001852,97.78,6,72.49
PK228,Meena Devi,ORD001853,92.69,10,119.58
PK076,Priya Sharma,ORD001854,82.91,11,35.32
PK082,Sanjay Kumar,ORD001855,95.08,8,74.73
PK013,Naveen Kumar,ORD001856,87.26,3,99.63
PK153,Sanjay Kumar,ORD001857,91.99,11,110.59
PK173,Harish M,ORD001858,87.15,8,76.93
PK093,Meena Devi,ORD001859,91.23,8,57.38
PK146,Meena Devi,ORD001860,98.86,7,31.04
PK134,Harish M,ORD001861,91.9,20,62.2
PK045,Meena Devi,ORD001862,98.75,14,100.58
PK146,Swetha R,ORD001863,95.51,5,21.11
PK129,Rahul Singh,ORD001864,95.57,9,105.89
PK124,Divya Nair,ORD001865,87.47,9,68.25
PK232,Anitha S,ORD001866,89.7,20,97.0
PK076,Karthik Raj,ORD001867,86.45,15,100.27
PK126,Arun Kumar,ORD001868,98.28,12,69.21
PK001,Vignesh R,ORD001869,97.56,9,109.91
PK240,Karthik Raj,ORD001870,85.72,16,99.27
PK054,Vignesh R,ORD001871,94.05,3,66.29
PK185,Meena Devi,ORD001872,86.37,12,19.09
PK217,Swetha R,ORD001873,97.8,12,21.39
PK216,Arun Kumar,ORD001874,85.94,13,88.56
PK111,Divya Nair,ORD001875,96.37,15,55.97
PK192,Naveen Kumar,ORD001876,98.55,9,32.29
PK127,Arun Kumar,ORD001877,92.24,16,77.36
PK021,Harish M,ORD001878,96.9,6,48.54
PK044,Meena Devi,ORD001879,93.01,7,39.45
PK021,Divya Nair,ORD001880,91.71,3,26.06
PK014,Vignesh R,ORD001881,85.46,20,25.38
PK038,Divya Nair,ORD001882,82.34,16,97.05
PK040,Divya Nair,ORD001883,96.55,5,70.13
PK204,Naveen Kumar,ORD001884,95.02,6,37.34
PK249,Priya Sharma,ORD001885,91.58,15,103.93
PK164,Divya Nair,ORD001886,91.66,18,95.6
PK074,Vignesh R,ORD001887,85.07,11,73.83
PK127,Priya Sharma,ORD001888,92.93,5,21.49
PK140,Arun Kumar,ORD001889,94.88,5,52.03
PK168,Harish M,ORD001890,83.8,8,36.39
PK136,Swetha R,ORD001891,93.4,9,112.06
PK042,Naveen Kumar,ORD001892,98.98,20,94.98
PK089,Naveen Kumar,ORD001893,95.01,5,116.23
PK031,Karthik Raj,ORD001894,85.92,6,20.84
PK185,Swetha R,ORD001895,86.95,20,74.02
PK220,Rahul Singh,ORD001896,97.31,17,66.6
PK156,Meena Devi,ORD001897,84.54,12,110.41
PK070,Swetha R,ORD001898,85.68,5,85.3
PK061,Sanjay Kumar,ORD001899,88.52,15,97.23
PK041,Harish M,ORD001900,92.34,5,96.47
PK185,Karthik Raj,ORD001901,83.75,5,42.28
PK156,Priya Sharma,ORD001902,86.52,14,22.04
PK077,Swetha R,ORD001903,86.22,3,94.07
PK169,Naveen Kumar,ORD001904,84.6,9,82.39
PK144,Swetha R,ORD001905,88.7,17,63.52
PK124,Priya Sharma,ORD001906,89.16,6,41.53
PK048,Divya Nair,ORD001907,99.04,15,23.32
PK171,Swetha R,ORD001908,92.21,11,42.16
PK162,Rahul Singh,ORD001909,99.71,6,71.38
PK058,Vignesh R,ORD001910,90.07,11,46.75
PK206,Divya Nair,ORD001911,84.92,14,113.87
PK050,Naveen Kumar,ORD001912,94.54,20,72.11
PK174,Karthik Raj,ORD001913,85.13,10,39.71
PK024,Swetha R,ORD001914,98.89,5,46.23
PK218,Swetha R,ORD001915,86.16,15,46.26
PK170,Priya Sharma,ORD001916,93.8,5,27.12
PK100,Priya Sharma,ORD001917,94.24,6,28.16
PK032,Priya Sharma,ORD001918,83.76,12,28.37
PK005,Arun Kumar,ORD001919,85.01,15,99.04
PK095,Anitha S,ORD001920,98.58,5,19.16
PK017,Sanjay Kumar,ORD001921,91.16,13,40.75
PK244,Rahul Singh,ORD001922,92.8,16,17.67
PK188,Naveen Kumar,ORD001923,89.25,9,20.5
PK223,Rahul Singh,ORD001924,91.06,5,68.88
PK105,Karthik Raj,ORD001925,82.02,7,57.73
PK134,Rahul Singh,ORD001926,99.18,10,93.17
PK210,Vignesh R,ORD001927,93.43,16,78.97
PK176,Arun Kumar,ORD001928,87.83,20,98.43
PK207,Sanjay Kumar,ORD001929,87.28,13,97.14
PK212,Priya Sharma,ORD001930,94.79,15,87.03
PK126,Divya Nair,ORD001931,87.68,7,88.52
PK208,Priya Sharma,ORD001932,84.02,18,45.12
PK029,Priya Sharma,ORD001933,86.04,19,64.32
PK242,Vignesh R,ORD001934,94.34,11,73.28
PK130,Divya Nair,ORD001935,91.82,6,53.82
PK216,Vignesh R,ORD001936,97.63,15,56.65
PK012,Priya Sharma,ORD001937,86.28,20,60.77
PK107,Harish M,ORD001938,85.72,19,46.78
PK085,Naveen Kumar,ORD001939,97.07,8,62.06
PK143,Rahul Singh,ORD001940,97.55,5,101.01
PK070,Sanjay Kumar,ORD001941,94.0,20,23.38
PK099,Rahul Singh,ORD001942,94.16,17,95.07
PK012,Harish M,ORD001943,85.41,13,95.13
PK222,Swetha R,ORD001944,88.07,7,37.36
PK042,Naveen Kumar,ORD001945,97.45,14,75.64
PK144,Swetha R,ORD001946,86.83,16,81.4
PK093,Anitha S,ORD001947,92.04,9,38.57
PK238,Sanjay Kumar,ORD001948,97.62,15,40.97
PK140,Sanjay Kumar,ORD001949,97.26,5,39.3
PK249,Arun Kumar,ORD001950,84.32,14,58.51
PK181,Swetha R,ORD001951,83.16,14,22.97
PK074,Anitha S,ORD001952,96.03,15,117.86
PK096,Sanjay Kumar,ORD001953,91.48,13,117.89
PK013,Rahul Singh,ORD001954,96.52,13,41.65
PK001,Sanjay Kumar,ORD001955,98.91,19,42.6
PK226,Naveen Kumar,ORD001956,83.14,15,69.9
PK047,Priya Sharma,ORD001957,90.0,4,52.87
PK160,Sanjay Kumar,ORD001958,87.65,11,23.65
PK240,Rahul Singh,ORD001959,90.27,5,79.91
PK207,Swetha R,ORD001960,98.95,5,49.57
PK179,Harish M,ORD001961,82.99,12,38.12
PK068,Priya Sharma,ORD001962,92.46,9,84.62
PK032,Priya Sharma,ORD001963,83.49,7,67.09
PK057,Sanjay Kumar,ORD001964,98.15,13,113.72
PK190,Priya Sharma,ORD001965,97.3,20,68.29
PK171,Meena Devi,ORD001966,91.73,5,95.59
PK138,Anitha S,ORD001967,84.9,10,35.66
PK101,Meena Devi,ORD001968,87.1,12,103.57
PK233,Rahul Singh,ORD001969,89.93,17,108.77
PK063,Harish M,ORD001970,84.76,17,29.85
PK073,Divya Nair,ORD001971,96.16,3,92.56
PK185,Rahul Singh,ORD001972,83.38,20,57.52
PK145,Rahul Singh,ORD001973,98.54,19,16.5
PK194,Vignesh R,ORD001974,84.28,14,94.92
PK002,Anitha S,ORD001975,83.43,8,103.12
PK140,Meena Devi,ORD001976,98.7,12,114.23
PK203,Divya Nair,ORD001977,94.23,14,87.82
PK224,Swetha R,ORD001978,86.72,16,37.59
PK069,Sanjay Kumar,ORD001979,91.42,20,38.39
PK113,Arun Kumar,ORD001980,82.63,5,78.11
PK129,Meena Devi,ORD001981,96.48,4,107.38
PK072,Arun Kumar,ORD001982,88.49,12,40.74
PK063,Arun Kumar,ORD001983,84.8,12,32.18
PK180,Vignesh R,ORD001984,87.47,16,28.2
PK111,Arun Kumar,ORD001985,93.82,14,39.92
PK062,Arun Kumar,ORD001986,86.74,13,47.98
PK225,Divya Nair,ORD001987,91.03,18,40.91
PK177,Naveen Kumar,ORD001988,96.31,12,81.66
PK042,Rahul Singh,ORD001989,94.64,15,100.85
PK196,Sanjay Kumar,ORD001990,82.85,6,118.94
PK084,Arun Kumar,ORD001991,90.39,20,30.92
PK107,Harish M,ORD001992,89.04,4,105.24
PK088,Arun Kumar,ORD001993,95.45,18,45.96
PK158,Swetha R,ORD001994,88.83,7,59.39
PK065,Harish M,ORD001995,82.62,17,92.72
PK123,Anitha S,ORD001996,93.42,12,47.41
PK194,Naveen Kumar,ORD001997,86.28,10,33.12
PK086,Karthik Raj,ORD001998,90.44,14,116.43
PK197,Naveen Kumar,ORD001999,85.59,10,19.22
PK177,Sanjay Kumar,ORD002000,85.27,16,73.14
PK064,Divya Nair,ORD002001,91.07,17,74.68
PK230,Arun Kumar,ORD002002,97.04,9,113.02
PK052,Karthik Raj,ORD002003,92.74,15,110.46
PK069,Meena Devi,ORD002004,83.8,7,72.31
PK029,Karthik Raj,ORD002005,85.96,4,105.71
PK207,Rahul Singh,ORD002006,97.89,13,40.08
PK099,Vignesh R,ORD002007,95.86,7,50.66
PK127,Rahul Singh,ORD002008,87.18,3,82.11
PK147,Rahul Singh,ORD002009,89.86,16,79.48
PK019,Anitha S,ORD002010,88.36,20,17.94
PK157,Rahul Singh,ORD002011,97.99,7,67.05
PK110,Meena Devi,ORD002012,96.66,7,66.2
PK240,Divya Nair,ORD002013,94.38,5,93.59
PK044,Divya Nair,ORD002014,93.47,5,107.52
PK249,Swetha R,ORD002015,93.96,6,67.55
PK076, Divya Nair ,ORD002016,93.35,15,19.75
PK096,Karthik Raj,ORD002017,96.03,6,83.21
PK068,Naveen Kumar,ORD002018,83.41,6,77.41
PK165,Harish M,ORD002019,93.03,15,106.86
PK229,Anitha S,ORD002020,95.63,16,16.04
PK149,Swetha R,ORD002021,96.2,19,17.66
PK205,Divya Nair,ORD002022,82.89,14,115.72
PK249,Swetha R,ORD002023,96.87,11,28.74
PK140,Sanjay Kumar,ORD002024,82.69,13,73.18
PK143,Anitha S,ORD002025,85.73,19,75.23
PK093,Vignesh R,ORD002026,88.46,18,31.47
PK115,Meena Devi,ORD002027,82.86,3,61.4
PK229,Priya Sharma,ORD002028,98.95,8,58.06
PK242,Rahul Singh,ORD002029,97.08,3,66.96
PK210,Swetha R,ORD002030,91.46,18,44.89
PK248,Vignesh R,ORD002031,82.25,4,38.13
PK048,Harish M,ORD002032,97.76,13,26.43
PK199,Rahul Singh,ORD002033,92.83,20,110.09
PK183,Meena Devi,ORD002034,82.96,7,104.05
PK094,Priya Sharma,ORD002035,98.42,9,68.23
PK014,Sanjay Kumar,ORD002036,89.27,17,110.33
PK074,Divya Nair,ORD002037,92.3,11,95.15
PK107,Naveen Kumar,ORD002038,95.66,19,51.88
PK037,Karthik Raj,ORD002039,92.21,18,56.9
PK148,Harish M,ORD002040,90.97,3,48.17
PK164,Anitha S,ORD002041,99.05,5,97.51
PK166,Karthik Raj,ORD002042,89.51,20,63.75
PK126,Sanjay Kumar,ORD002043,89.43,17,54.65
PK219,Arun Kumar,ORD002044,83.7,19,92.51
PK184,Divya Nair,ORD002045,88.77,10,18.92
PK189,Vignesh R,ORD002046,88.58,14,54.21
PK180,Arun Kumar,ORD002047,85.93,5,45.84
PK217,Meena Devi,ORD002048,98.29,4,90.64
PK011,Naveen Kumar,ORD002049,98.76,14,66.82
PK230,Naveen Kumar,ORD002050,94.68,20,104.91
PK103,Vignesh R,ORD002051,85.0,17,87.25
PK216,Naveen Kumar,ORD002052,86.75,17,62.92
PK140,Divya Nair,ORD002053,94.11,18,70.75
PK120,Arun Kumar,ORD002054,98.3,4,51.3
PK130,Meena Devi,ORD002055,91.36,20,114.24
PK057,Vignesh R,ORD002056,87.88,10,51.66
PK018,Anitha S,ORD002057,88.23,20,25.93
PK206,Swetha R,ORD002058,94.03,3,102.13
PK166,Swetha R,ORD002059,95.21,5,65.92
PK102,Priya Sharma,ORD002060,90.83,6,65.01
PK084,Karthik Raj,ORD002061,97.24,19,70.31
PK065,Swetha R,ORD002062,83.56,12,65.19
PK202,Arun Kumar,ORD002063,92.68,16,78.84
PK025,Naveen Kumar,ORD002064,86.45,8,54.56
PK047,Vignesh R,ORD002065,91.24,4,64.28
PK170,Divya Nair,ORD002066,88.09,11,63.91
PK071,Meena Devi,ORD002067,98.99,12,116.57
PK227,Anitha S,ORD002068,82.56,10,112.18
PK092,Arun Kumar,ORD002069,86.79,6,25.09
PK017,Karthik Raj,ORD002070,94.87,4,42.22
PK078,Vignesh R,ORD002071,90.73,13,111.66
PK004,Sanjay Kumar,ORD002072,97.61,4,72.46
PK063,Arun Kumar,ORD002073,91.17,7,46.76
PK141,Naveen Kumar,ORD002074,88.42,16,91.91
PK006,Naveen Kumar,ORD002075,93.81,16,29.44
PK212,Arun Kumar,ORD002076,87.45,12,63.28
PK059,Karthik Raj,ORD002077,84.55,4,20.67
PK170,Vignesh R,ORD002078,88.76,6,17.45
PK157,Harish M,ORD002079,98.34,20,21.52
PK044,Vignesh R,ORD002080,98.1,6,24.75
PK061,Priya Sharma,ORD002081,99.91,19,74.95
PK170,Naveen Kumar,ORD002082,98.24,7,47.68
PK014,Harish M,ORD002083,82.13,16,109.1
PK102,Priya Sharma,ORD002084,82.4,13,53.1
PK052,Sanjay Kumar,ORD002085,90.39,4,115.25
PK097,Priya Sharma,ORD002086,84.65,4,98.76
PK086,Divya Nair,ORD002087,85.38,7,55.01
PK099,Karthik Raj,ORD002088,94.86,14,77.12
PK169,Meena Devi,ORD002089,89.16,14,86.23
PK205,Meena Devi,ORD002090,95.47,9,85.67
PK137,Anitha S,ORD002091,91.59,19,96.55
PK125,Meena Devi,ORD002092,99.78,17,35.31
PK046,Swetha R,ORD002093,89.53,8,15.72
PK244,Arun Kumar,ORD002094,93.18,11,42.6
PK192,Priya Sharma,ORD002095,93.32,4,45.33
PK086,Meena Devi,ORD002096,90.58,9,110.63
PK063,Vignesh R,ORD002097,99.63,18,47.22
PK069,Priya Sharma,ORD002098,99.02,19,26.84
PK019,Anitha S,ORD002099,86.24,11,30.96
PK048,Vignesh R,ORD002100,85.18,18,28.34
PK223,Swetha R,ORD002101,90.78,19,83.93
PK052,Harish M,ORD002102,82.3,14,72.52
PK104,Arun Kumar,ORD002103,98.19,20,109.68
PK181,Naveen Kumar,ORD002104,82.51,8,117.55
PK146,Swetha R,ORD002105,93.49,11,117.43
PK087,Meena Devi,ORD002106,94.88,20,72.73
PK099,Arun Kumar,ORD002107,82.05,6,63.63
PK196,Naveen Kumar,ORD002108,91.69,3,119.69
PK017,Harish M,ORD002109,96.94,18,15.16
PK063,Priya Sharma,ORD002110,88.88,12,30.12
PK017,Rahul Singh,ORD002111,82.06,4,78.22
PK166,Karthik Raj,ORD002112,99.91,7,87.01
PK059,Sanjay Kumar,ORD002113,96.15,6,28.21
PK114,Sanjay Kumar,ORD002114,97.5,5,43.25
PK099,Harish M,ORD002115,99.76,14,45.22
PK069,Sanjay Kumar,ORD002116,96.4,8,47.26
PK243,Swetha R,ORD002117,89.92,5,34.25
PK155,Sanjay Kumar,ORD002118,94.47,6,37.36
PK158,Sanjay Kumar,ORD002119,99.1,9,24.07
PK165,Karthik Raj,ORD002120,96.72,10,79.86
PK128,Priya Sharma,ORD002121,92.82,14,60.92
PK180,Sanjay Kumar,ORD002122,85.5,16,67.17
PK153,Rahul Singh,ORD002123,85.58,9,53.47
PK148,Sanjay Kumar,ORD002124,84.36,5,39.19
PK175,Divya Nair,ORD002125,82.91,13,85.6
PK087,Sanjay Kumar,ORD002126,92.62,17,93.33
PK111,Anitha S,ORD002127,85.58,4,24.87
PK147,Sanjay Kumar,ORD002128,84.22,19,67.61
PK213,Vignesh R,ORD002129,85.68,19,118.61
PK090,Meena Devi,ORD002130,96.03,10,91.02
PK057,Meena Devi,ORD002131,88.77,8,94.83
PK136,Arun Kumar,ORD002132,92.43,15,118.16
PK025,Divya Nair,ORD002133,89.04,4,40.65
PK100,Meena Devi,ORD002134,96.78,10,24.88
PK208,Priya Sharma,ORD002135,94.51,6,25.13
PK239,Arun Kumar,ORD002136,93.46,10,54.67
PK094,Arun Kumar,ORD002137,96.51,19,34.8
PK237,Arun Kumar,ORD002138,94.07,15,63.43
PK097,Harish M,ORD002139,90.78,7,50.06
PK174,Naveen Kumar,ORD002140,97.99,16,75.21
PK226,Meena Devi,ORD002141,99.52,19,24.36
PK085,Naveen Kumar,ORD002142,86.02,6,25.38
PK117,Arun Kumar,ORD002143,88.79,8,64.66
PK005,Harish M,ORD002144,94.9,8,93.16
PK003,Anitha S,ORD002145,84.39,16,40.39
PK246,Arun Kumar,ORD002146,93.54,6,62.79
PK232,Rahul Singh,ORD002147,87.62,7,60.28
PK157,Rahul Singh,ORD002148,98.48,6,97.56
PK204,Divya Nair,ORD002149,91.71,15,54.24
PK214,Anitha S,ORD002150,83.71,14,115.82
PK204,Swetha R,ORD002151,96.87,19,66.17
PK079,Swetha R,ORD002152,96.84,20,33.54
PK205,Swetha R,ORD002153,89.19,20,77.09
PK078,Vignesh R,ORD002154,87.6,15,111.14
PK026,Sanjay Kumar,ORD002155,89.82,3,119.74
PK079,Harish M,ORD002156,88.91,11,29.85
PK141,Meena Devi,ORD002157,82.96,11,76.09
PK246,Vignesh R,ORD002158,87.65,3,106.38
PK104,Anitha S,ORD002159,86.4,13,77.78
PK230,Swetha R,ORD002160,82.65,10,77.46
PK061,Vignesh R,ORD002161,82.64,11,103.81
PK020,Harish M,ORD002162,89.84,17,119.04
PK072,Anitha S,ORD002163,88.94,11,60.73
PK111,Meena Devi,ORD002164,87.37,8,90.7
PK019,Vignesh R,ORD002165,96.88,12,81.38
PK038,Divya Nair,ORD002166,99.32,15,60.56
PK228,Harish M,ORD002167,82.82,7,95.77
PK108,Priya Sharma,ORD002168,84.27,4,43.56
PK040,Priya Sharma,ORD002169,99.99,5,52.01
PK062,Harish M,ORD002170,85.8,7,111.86
PK189,Karthik Raj,ORD002171,85.18,17,66.57
PK132,Karthik Raj,ORD002172,91.43,11,75.76
PK229,Vignesh R,ORD002173,98.68,18,67.82
PK124,Karthik Raj,ORD002174,96.59,11,97.75
PK065,Arun Kumar,ORD002175,85.89,11,72.94
PK057,Meena Devi,ORD002176,85.49,14,69.12
PK010,Anitha S,ORD002177,90.48,9,99.06
PK045,Meena Devi,ORD002178,95.36,17,97.15
PK200,Harish M,ORD002179,94.48,5,71.78
PK213,Arun Kumar,ORD002180,93.04,7,50.2
PK081,Sanjay Kumar,ORD002181,94.72,3,66.45
PK119,Divya Nair,ORD002182,91.74,18,50.17
PK190,Meena Devi,ORD002183,91.48,12,15.04
PK167,Karthik Raj,ORD002184,92.16,8,24.82
PK180,Priya Sharma,ORD002185,99.4,8,64.27
PK070,Priya Sharma,ORD002186,105.0,13,112.15
PK122,Harish M,ORD002187,84.24,18,24.09
PK127,Rahul Singh,ORD002188,96.39,8,82.04
PK149,Rahul Singh,ORD002189,91.85,4,83.5
PK150,Karthik Raj,ORD002190,82.72,12,50.35
PK058,Naveen Kumar,ORD002191,88.46,5,80.21
PK086,Rahul Singh,ORD002192,96.89,8,26.65
PK126,Anitha S,ORD002193,83.66,15,17.91
PK189,Meena Devi,ORD002194,90.81,20,69.71
PK053,Naveen Kumar,ORD002195,85.6,19,118.67
PK080,Karthik Raj,ORD002196,96.35,12,70.13
PK231,Rahul Singh,ORD002197,95.39,7,23.33
PK220,Sanjay Kumar,ORD002198,96.66,7,71.12
PK148,Arun Kumar,ORD002199,84.87,12,51.59
PK022,Divya Nair,ORD002200,95.22,11,25.43
PK073,Rahul Singh,ORD002201,99.54,13,67.08
PK150,Arun Kumar,ORD002202,87.15,3,84.55
PK179,Rahul Singh,ORD002203,89.22,8,102.65
PK001,Naveen Kumar,ORD002204,95.33,15,119.86
PK007,Swetha R,ORD002205,96.28,20,68.49
PK001,Swetha R,ORD002206,91.83,7,32.02
PK062,Meena Devi,ORD002207,89.77,18,93.49
PK151,Sanjay Kumar,ORD002208,96.83,12,50.55
PK230,Rahul Singh,ORD002209,92.82,17,48.04
PK247,Anitha S,ORD002210,82.52,12,108.8
PK009,Karthik Raj,ORD002211,84.6,8,47.03
PK018,Divya Nair,ORD002212,90.88,6,35.28
PK119,Priya Sharma,ORD002213,98.53,9,65.13
PK226,Anitha S,ORD002214,87.61,9,90.15
PK244,Anitha S,ORD002215,97.53,14,72.61
PK137,Anitha S,ORD002216,93.36,16,82.01
PK158,Harish M,ORD002217,82.93,10,56.59
PK105,Meena Devi,ORD002218,83.91,12,29.36
PK207,Rahul Singh,ORD002219,83.37,14,112.38
PK220,Priya Sharma,ORD002220,85.64,16,31.98
PK039,Divya Nair,ORD002221,99.66,13,75.41
PK246,Anitha S,ORD002222,94.11,6,75.65
PK002,Divya Nair,ORD002223,95.23,9,55.09
PK021,Harish M,ORD002224,91.43,18,88.39
PK064,Sanjay Kumar,ORD002225,94.88,16,112.11
PK123,Karthik Raj,ORD002226,85.93,13,104.72
PK219,Meena Devi,ORD002227,96.31,11,16.9
PK046,Anitha S,ORD002228,98.73,16,101.74
PK112,Meena Devi,ORD002229,97.32,20,105.91
PK058,Harish M,ORD002230,88.97,10,95.12
PK091,Harish M,ORD002231,89.51,4,15.84
PK241,Swetha R,ORD002232,94.65,20,62.42
PK058,Karthik Raj,ORD002233,96.44,4,65.76
PK157,Meena Devi,ORD002234,86.45,14,86.79
PK190,Karthik Raj,ORD002235,98.71,5,79.9
PK064,Karthik Raj,ORD002236,87.91,19,30.83
PK249,Sanjay Kumar,ORD002237,99.84,13,42.46
PK223,Karthik Raj,ORD002238,86.84,5,46.26
PK236,Anitha S,ORD002239,87.64,4,39.87
PK194,Karthik Raj,ORD002240,92.59,14,33.6
PK236,Karthik Raj,ORD002241,96.22,5,31.82
PK083,Divya Nair,ORD002242,87.45,9,34.76
PK041,Naveen Kumar,ORD002243,98.13,15,118.46
PK089,Naveen Kumar,ORD002244,98.53,3,59.62
PK181,Divya Nair,ORD002245,90.23,11,79.34
PK176,Priya Sharma,ORD002246,86.86,15,76.91
PK201,Swetha R,ORD002247,86.55,15,32.58
PK227,Meena Devi,ORD002248,91.72,13,49.58
PK078,Karthik Raj,ORD002249,98.4,7,105.38
PK095,Harish M,ORD002250,89.72,17,19.06
PK007,Anitha S,ORD002251,93.96,13,32.9
PK159,Arun Kumar,ORD002252,97.05,12,28.11
PK058,Divya Nair,ORD002253,87.18,17,41.18
PK235,Naveen Kumar,ORD002254,82.15,13,69.76
PK038,Arun Kumar,ORD002255,88.64,15,26.5
PK097,Harish M,ORD002256,97.2,14,114.53
PK218,Anitha S,ORD002257,90.29,7,22.37
PK129,Sanjay Kumar,ORD002258,83.8,13,77.8
PK143,Rahul Singh,ORD002259,91.8,10,62.42
PK136,Karthik Raj,ORD002260,82.35,14,59.01
PK213,Arun Kumar,ORD002261,99.01,10,54.33
PK146,Meena Devi,ORD002262,85.5,7,18.57
PK138,Naveen Kumar,ORD002263,82.27,6,40.4
PK141,Anitha S,ORD002264,94.35,8,53.35
PK101,Divya Nair,ORD002265,98.26,4,43.41
PK179,Naveen Kumar,ORD002266,89.83,18,20.05
PK084,Harish M,ORD002267,82.86,13,33.87
PK015,Priya Sharma,ORD002268,86.51,11,62.26
PK221,Swetha R,ORD002269,96.79,16,99.37
PK163,Swetha R,ORD002270,86.59,3,118.3
PK011,Swetha R,ORD002271,88.16,7,115.9
PK024,Naveen Kumar,ORD002272,86.35,20,42.89
PK186,Harish M,ORD002273,96.92,12,89.93
PK006,Harish M,ORD002274,85.68,4,27.14
PK015,Swetha R,ORD002275,86.03,5,92.73
PK012,Karthik Raj,ORD002276,96.4,17,118.37
PK003,Priya Sharma,ORD002277,85.44,14,107.6
PK197,Arun Kumar,ORD002278,86.68,8,49.36
PK203,Meena Devi,ORD002279,84.79,7,75.92
PK208,Meena Devi,ORD002280,82.58,18,42.09
PK150,Arun Kumar,ORD002281,93.2,13,91.87
PK184,Divya Nair,ORD002282,90.46,3,109.16
PK091,Swetha R,ORD002283,99.9,13,33.21
PK153,Priya Sharma,ORD002284,93.74,18,45.85
PK051,Sanjay Kumar,ORD002285,91.69,18,68.1
PK040,Arun Kumar,ORD002286,82.47,10,60.67
PK137,Rahul Singh,ORD002287,99.07,8,38.84
PK031,Meena Devi,ORD002288,87.33,6,20.32
PK128,Divya Nair,ORD002289,88.0,4,67.81
PK216,Karthik Raj,ORD002290,86.64,10,101.57
PK163,Priya Sharma,ORD002291,83.47,16,32.12
PK223,Naveen Kumar,ORD002292,82.53,8,50.5
PK156,Anitha S,ORD002293,88.63,19,52.76
PK180,Swetha R,ORD002294,95.55,14,79.72
PK131,Naveen Kumar,ORD002295,92.73,16,37.85
PK090,Divya Nair,ORD002296,96.15,7,116.38
PK135,Swetha R,ORD002297,90.28,18,74.81
PK005,Vignesh R,ORD002298,86.35,20,72.53
PK237,Sanjay Kumar,ORD002299,93.67,12,78.31
PK174,Anitha S,ORD002300,82.1,18,19.98
PK219,Karthik Raj,ORD002301,95.14,13,101.05
PK009,Karthik Raj,ORD002302,89.69,10,71.43
PK020,Sanjay Kumar,ORD002303,82.29,20,83.52
PK239,Harish M,ORD002304,86.8,7,22.53
PK121,Naveen Kumar,ORD002305,91.44,5,95.11
PK136,Priya Sharma,ORD002306,84.56,14,58.91
PK214,Karthik Raj,ORD002307,98.43,4,62.89
PK221,Meena Devi,ORD002308,84.02,3,21.8
PK241,Meena Devi,ORD002309,89.03,9,16.16
PK022,Priya Sharma,ORD002310,92.17,17,83.41
PK015,Divya Nair,ORD002311,88.06,17,88.54
PK180,Meena Devi,ORD002312,88.25,13,75.36
PK111,Vignesh R,ORD002313,93.47,14,81.85
PK149,Swetha R,ORD002314,94.1,11,112.55
PK106,Swetha R,ORD002315,87.11,8,119.96
PK201,Sanjay Kumar,ORD002316,98.86,3,36.64
PK245,Swetha R,ORD002317,92.06,11,51.44
PK016,Sanjay Kumar,ORD002318,86.58,18,48.83
PK167,Priya Sharma,ORD002319,87.59,8,114.44
PK005,Harish M,ORD002320,92.28,3,108.24
PK231,Harish M,ORD002321,89.1,8,86.59
PK074,Karthik Raj,ORD002322,82.38,6,98.69
PK083,Meena Devi,ORD002323,87.05,9,96.42
PK172,Karthik Raj,ORD002324,85.78,10,51.79
PK189,Sanjay Kumar,ORD002325,91.22,18,70.38
PK055,Vignesh R,ORD002326,95.06,7,96.12
PK184,Harish M,ORD002327,82.83,16,53.44
PK164,Meena Devi,ORD002328,83.21,18,33.88
PK112,Naveen Kumar,ORD002329,90.42,15,49.02
PK247,Anitha S,ORD002330,89.32,17,75.28
PK112,Divya Nair,ORD002331,96.0,18,71.06
PK025,Swetha R,ORD002332,91.27,3,71.11
PK025,Harish M,ORD002333,85.12,9,77.45
PK014,Vignesh R,ORD002334,89.88,18,107.96
PK110,Karthik Raj,ORD002335,99.5,17,73.21
PK141,Swetha R,ORD002336,97.06,3,70.83
PK216,Divya Nair,ORD002337,82.11,4,111.25
PK038,Meena Devi,ORD002338,88.2,13,45.25
PK172,Harish M,ORD002339,96.44,4,93.83
PK225,Harish M,ORD002340,93.57,15,60.49
PK233,Vignesh R,ORD002341,89.5,5,90.77
PK072,Swetha R,ORD002342,90.43,14,45.27
